"cmpd","rt","annotation","ann.confidence","median.signal","inferred.M","inferred.formula","inchikey","inchi","pubchem.url","synonyms","inchikey.1","kingdom","superclass","class","subclass","parent","description"
"C798",253.259,"Isomugineic acid_3","2",1979.93014946967,320.1251,"C12H20N2O8","GJRGEVKCJPPZIT-UHFFFAOYNA-N",NA,NA,"NA","GJRGEVKCJPPZIT-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C799",252.643,"3-Hydroxymugineic acid_4","2",3964.22236467776,336.1201,"C12H20N2O9","QPIOQLJXMZWNFJ-UHFFFAOYNA-N",NA,NA,"NA","QPIOQLJXMZWNFJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C800",251.7775,"phosphatidylcholine (P-34:2)","2",1200.27422585797,339.1376,"C13H26NO7P","PPKYUXFRASVFLB-UGPWUYPHNA-N",NA,NA,"NA","PPKYUXFRASVFLB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C801",252.303,"7-O-beta-apiofuranosyl-(1???6)-O-beta-glucopyranosyl benzyl alcohol","2",2723.93639273474,450.1503,"C18H26O13","RWYAXCQHFDRUHP-WNUOMJQQSA-N",NA,NA,"NA","RWYAXCQHFDRUHP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C802",252.4085,"2-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-(cyclopropylmethyl)acetamide_6","2",4746.76887291659,410.1561,"C19H26N2O6S","YSCGDHRCRJHNHR-WEINJZQMNA-N",NA,NA,"NA","YSCGDHRCRJHNHR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C803",250.971,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_9","2",5212.7352659069,396.1414,"C19H20N6O2S","UFQMMFCIGWSKDO-UHFFFAOYSA-N","InChI=1S/C19H20N6O2S/c1-3-14-4-10-17(11-5-14)25-19(22-23-24-25)28-12-18(27)21-16-8-6-15(7-9-16)20-13(2)26/h4-11H,3,12H2,1-2H3,(H,20,26)(H,21,27)","https://pubchem.ncbi.nlm.nih.gov/compound/1078044","NA","UFQMMFCIGWSKDO-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","This compound belongs to the class of organic compounds known as phenyltetrazoles and derivatives. These are compounds containing a phenyltetrazole skeleton, which consists of a tetrazole bound to a phenyl group."
"C804",251.804,"2,4-dinitro-N-[[2-(2-pyridinyl)cyclohexylidene]amino]aniline","2",1059.23147866026,355.1329,"C17H17N5O4","OXWJCYWFEMNOSV-UHFFFAOYNA-N",NA,NA,"NA","OXWJCYWFEMNOSV-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C805",251.6205,"(S,E)-Zearalenone","2",868.884144707175,318.1451,"C18H22O5","MBMQEIFVQACCCH-XVNBXDOJNA-N",NA,NA,"NA","MBMQEIFVQACCCH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C806",251.9795,"6-Acetyl-2,2-dimethyl-2H-1-benzopyran","2",126.249757319507,202.0978,"C13H14O2","ZAJTXVHECZCXLH-UHFFFAOYSA-N","InChI=1S/C13H14O2/c1-9(14)10-4-5-12-11(8-10)6-7-13(2,3)15-12/h4-8H,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/177040","NA","ZAJTXVHECZCXLH-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","2,2-dimethyl-1-benzopyrans","This compound belongs to the class of organic compounds known as 2,2-dimethyl-1-benzopyrans. These are organic compounds containing a 1-benzopyran moiety that carries two methyl groups at the 2-position."
"C807",251.405,"2'-Amino-2'-deoxyadenosine;2'-Aminoadenosine;NSC 324326_2","2",3390.74285385031,266.1152,"C10H14N6O3","CQKMBZHLOYVGHW-LPXKRVLFNA-N",NA,NA,"NA","CQKMBZHLOYVGHW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C808",250.6935,"(-)-Loliolide;Loliolide_5","2",417.485249311714,196.1087,"C11H16O3","XEVQXKKKAVVSMW-SMLPMWDWNA-N",NA,NA,"NA","XEVQXKKKAVVSMW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C809",250.49,"Butylparaben_2","2",314.160746721807,194.094,"C11H14O3","QFOHBWFCKVYLES-UHFFFAOYSA-N","InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3","https://pubchem.ncbi.nlm.nih.gov/compound/7184","NA","QFOHBWFCKVYLES-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","p-Hydroxybenzoic acid alkyl esters","This compound belongs to the class of organic compounds known as p-hydroxybenzoic acid alkyl esters. These are aromatic compounds containing a benzoic acid, which is esterified with an alkyl group and para-substituted with a hydroxyl group."
"C810",251.538,"Dihydroconiferyl alcohol_2","2",163.135781599585,182.0934,"C10H14O3","MWOMNLDJNQWJMK-UHFFFAOYSA-N","InChI=1S/C10H14O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h4-5,7,11-12H,2-3,6H2,1H3","https://pubchem.ncbi.nlm.nih.gov/compound/16822","NA","MWOMNLDJNQWJMK-UHFFFAOYSA-N","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","This compound belongs to the class of organic compounds known as methoxyphenols. These are compounds containing a methoxy group attached to the benzene ring of a phenol moiety."
"C811",250.0905,"Edetic Acid","2",1398.8255135004,292.0967,"C10H16N2O8","KCXVZYZYPLLWCC-UHFFFAOYSA-N","InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)","https://pubchem.ncbi.nlm.nih.gov/compound/6049","NA","KCXVZYZYPLLWCC-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","Tetracarboxylic acids and derivatives","This compound belongs to the class of organic compounds known as tetracarboxylic acids and derivatives. These are carboxylic acids containing exactly four carboxyl groups."
"C812",249.2045,"7-(2-hydroxy-3-amino-3-carboxypropyl)wyosine 5'-monophosphate zwitterion_3","2",2972.46068929721,452.1634,"C18H24N6O8","CWZGXBPVGJVJRZ-YSZBBASGSA-N","InChI=1S/C18H24N6O8/c1-6-7(3-8(26)10(19)17(30)31)24-15(29)11-14(22(2)18(24)21-6)23(5-20-11)16-13(28)12(27)9(4-25)32-16/h5,8-10,12-13,16,25-28H,3-4,19H2,1-2H3,(H,30,31)/t8?,9-,10+,12-,13-,16-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/71464646","NA","CWZGXBPVGJVJRZ-YSZBBASGSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Nucleoside and nucleotide analogues",NA,"Nucleoside and nucleotide analogues","This compound belongs to the class of organic compounds known as nucleoside and nucleotide analogues. These are analogues of nucleosides and nucleotides. These include phosphonated nucleosides, C-glycosylated nucleoside bases, analogues where the sugar unit is a pyranose, and carbocyclic nucleosides, among others."
"C813",247.5285,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_6","2",4300.46466788021,356.1457,"C16H24N2O5S","XITZEOXYAYTYOD-FJBXCPOZNA-N",NA,NA,"NA","XITZEOXYAYTYOD-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C814",248.7935,"Syringin_3","2",2496.69323562397,372.1409,"C17H24O9","QJVXKWHHAMZTBY-MAWHBGBXNA-N",NA,NA,"NA","QJVXKWHHAMZTBY-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C815",250.536,"2'-deamino-2'-hydroxyparomamine(2+)_2","2",4705.10331782158,324.1572,"C12H24N2O8","KXYGCYIEINSYLN-JOUXFQABNA-P",NA,NA,"NA","KXYGCYIEINSYLN-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C816",250.9675,"1,4-diisobutyl-2,3,5,6-tetrahydroxy-1,4-dioxo-1,4-diphosphorinane_3","2",5091.0704880119,328.1152,"C12H26O6P2","YLYUAJJICVNRHL-UHFFFAOYNA-N",NA,NA,"NA","YLYUAJJICVNRHL-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C817",250.834,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_5","2",4407.58062784596,370.1271,"C17H18N6O2S","JSQCYWGKEFQZMS-UHFFFAOYNA-N",NA,NA,"NA","JSQCYWGKEFQZMS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C818",249.9185,"(2S)-2-[[2-[(2-amino-1-oxoethyl)amino]-1-oxoethyl]amino]-5-[(1-oxo-2-phosphonoethyl)amino]pentanoic acid_3","2",6926.41234411951,368.1077,"C11H21N4O8P","AVSPMOKNUVRQBF-JLDDOWRYNA-N",NA,NA,"NA","AVSPMOKNUVRQBF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C819",250.3195,"2-(carboxymethyl(2-hydroxyethyl)amino)ethyliminodi(acetic acid)_2","2",1933.94147672563,278.1149,"C10H18N2O7","URDCARMUOSMFFI-UHFFFAOYSA-N","InChI=1S/C10H18N2O7/c13-4-3-11(5-8(14)15)1-2-12(6-9(16)17)7-10(18)19/h13H,1-7H2,(H,14,15)(H,16,17)(H,18,19)","https://pubchem.ncbi.nlm.nih.gov/compound/8773","NA","URDCARMUOSMFFI-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids","This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon)."
"C820",249.3635,"2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_10","2",5412.01451309302,354.1306,"C15H22N4O4S","HQQCGZDMNBZXKF-UHFFFAOYNA-N",NA,NA,"NA","HQQCGZDMNBZXKF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C821",249.2945,"Methylsyringin_4","2",3723.06471560224,386.1552,"C18H26O9","KDZYNPVXUQIVAO-PLNGDYQANA-N",NA,NA,"NA","KDZYNPVXUQIVAO-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C822",249.1965,"N-Acetylmuramoyl-Ala_5","2",3270.82138206642,364.1514,"C14H24N2O9","ICMUIFDBEVJCQA-DBRPSDITNA-N",NA,NA,"NA","ICMUIFDBEVJCQA-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C823",248.8535,"Sotalol_3","2",1211.24210525516,272.1248,"C12H20N2O3S","ZBMZVLHSJCTVON-UHFFFAOYSA-N","InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/5253","NA","ZBMZVLHSJCTVON-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","This compound belongs to the class of organic compounds known as sulfanilides. These are organic aromatic compounds containing a sulfanilide moiety, with the general structure RS(=O)(=O)NC1=CC=CC=C1."
"C824",250.53,"Methyleugenol_1","2",164.653349345658,178.0984,"C11H14O2","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/7127","NA","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Methoxybenzenes","Dimethoxybenzenes","This compound belongs to the class of organic compounds known as dimethoxybenzenes. These are organic aromatic compounds containing a monocyclic benzene moiety carrying exactly two methoxy groups."
"C825",250.184,"(S)-Pterosin P_1","2",487.238208123529,234.1246,"C14H18O3","QDZJDGJEGHSXFF-UHFFFAOYNA-N",NA,NA,"NA","QDZJDGJEGHSXFF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C826",350.1365,"6-cyclohexylsulfanyl-1-ethoxymethyl-5-isopropyluracil","2",773.381810394445,326.1735,"C16H26N2O3S","JKXLRLDPSLZEDD-UHFFFAOYSA-N","InChI=1S/C16H26N2O3S/c1-4-21-10-18-15(22-12-8-6-5-7-9-12)13(11(2)3)14(19)17-16(18)20/h11-12H,4-10H2,1-3H3,(H,17,19,20)","https://pubchem.ncbi.nlm.nih.gov/compound/444706","NA","JKXLRLDPSLZEDD-UHFFFAOYSA-N","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","This compound belongs to the class of organic compounds known as aryl thioethers. These are organosulfur compounds containing a thioether group that is substituted by an aryl group."
"C827",345.436,"Uricase","2",839.635300298547,550.1012,"C18H23N4O14P","VPXDHZMLJOJKOX-UHFFFAOYNA-N",NA,NA,"NA","KXSPLNAXPMVUEC-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C828",345.984,"alpha-D-GalNpAc-(1->3)-beta-D-GalpNAc-OMe","2",2272.36163158938,438.186,"C17H30N2O11","BCJXKIBXIHQTEP-BNTHRHBTSA-N","InChI=1S/C17H30N2O11/c1-6(22)18-10-14(26)12(24)8(4-20)29-17(10)30-15-11(19-7(2)23)16(27-3)28-9(5-21)13(15)25/h8-17,20-21,24-26H,4-5H2,1-3H3,(H,18,22)(H,19,23)/t8-,9-,10-,11-,12+,13+,14-,15-,16-,17-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/56927758","NA","BCJXKIBXIHQTEP-BNTHRHBTSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acyl-alpha-hexosamines","This compound belongs to the class of organic compounds known as n-acyl-alpha-hexosamines. These are carbohydrate derivatives containing a hexose moiety in which the oxygen atom is replaced by an n-acyl group."
"C829",347.1915,"LSM-37209","2",1395.75847555051,384.0951,"C13H16N6O8","IEYXVHQWLXJZAG-UHFFFAOYSA-N",NA,NA,"NA","IEYXVHQWLXJZAG-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Diazinanes","Piperazines","Piperazine carboxylic acids","This compound belongs to the class of organic compounds known as piperazine carboxylic acids. These are heterocyclic compounds containing a piperazine ring substituted by one or more carboxylic acid groups."
"C830",342.5795,"Nitracidomycin B_2","2",735.080323370772,290.1504,"C12H22N2O6","KQZPUTFJOHDSFS-MKMNVTDBNA-N",NA,NA,"NA","KQZPUTFJOHDSFS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C831",342.3675,"dodecyl hydrogen sulfate_4","2",837.62751940229,266.15,"C12H26O4S","MOTZDAYCYVMXPC-UHFFFAOYSA-N","InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/8778","NA","MOTZDAYCYVMXPC-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","This compound belongs to the class of organic compounds known as sulfuric acid monoesters. These are organic compounds containing the sulfuric acid monoester functional group, with the generic structure ROS(O)(=O)=O, (R=organyl group)."
"C832",344.121,"1-O-Sinapoylglucose","2",1071.17330910623,386.1291,"C17H22O10","XRKBRPFTFKKHEF-ONEGZZNKNA-N",NA,NA,"NA","XRKBRPFTFKKHEF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C833",344.043,"3,5,7-trimethyl-N-[4-morpholinyl(sulfanylidene)methyl]-1-adamantanecarboxamide","2",1274.10098239106,350.2052,"C19H30N2O2S","WTOMJIJRSMZRED-UHFFFAOYSA-N","InChI=1S/C19H30N2O2S/c1-16-8-17(2)10-18(3,9-16)13-19(11-16,12-17)14(22)20-15(24)21-4-6-23-7-5-21/h4-13H2,1-3H3,(H,20,22,24)","https://pubchem.ncbi.nlm.nih.gov/compound/2851314","NA","WTOMJIJRSMZRED-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Oxazinanes","Morpholines","Morpholines","This compound belongs to the class of organic compounds known as morpholines. These are organic compounds containing a morpholine moiety, which consists of a six-member aliphatic saturated ring with the formula C4H9NO, where the oxygen and nitrogen atoms lie at positions 1 and 4, respectively."
"C834",329.1895,"Bmsc-0013","2",1541.82976574131,350.1756,"C14H26N2O8","YTYAKGJMNHDUDF-UPXOXWNWSA-N","InChI=1S/C14H26N2O8/c1-23-14(22)15-6-4-2-3-5-9(18)16-13-12(21)11(20)10(19)8(7-17)24-13/h8,10-13,17,19-21H,2-7H2,1H3,(H,15,22)(H,16,18)/t8-,10-,11+,12-,13-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/46936399","NA","YTYAKGJMNHDUDF-UPXOXWNWSA-N","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides","This compound belongs to the class of organic compounds known as fatty acyl glycosides. These are compounds containing fatty acyl chain linked to a carbohydrate moiety through a glycosidic bond. Fatty acyl glycosides are composed of a glycosyl moiety (one or several units) linked to one hydroxyl group of a fatty alcohol or of a phosphorylated alcohol (phosphoprenols), a hydroxy fatty acid or to one carboxyl group of a fatty acid (ester linkage) or to an amino alcohol."
"C835",329.824,"Dihydroactinospectacin; Dihydrospectinomycin_1","2",1024.07615107734,334.1769,"C14H26N2O7","GKPRKJXOTBXASY-ATHBZBJANA-N",NA,NA,"NA","GKPRKJXOTBXASY-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C836",333.3985,"Nopaline_4","2",506.336249706029,304.1292,"C11H20N4O6","LMKYZBGVKHTLTN-JHPDDGAFNA-N",NA,NA,"NA","LMKYZBGVKHTLTN-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C837",333.842,"Prenylbenzoquinone","2",31.7859373208976,176.0833,"C11H12O2","PJERCKGJJBCWEC-UHFFFAOYSA-N","InChI=1S/C11H12O2/c1-8(2)3-4-9-7-10(12)5-6-11(9)13/h3,5-7H,4H2,1-2H3","https://pubchem.ncbi.nlm.nih.gov/compound/276202","NA","PJERCKGJJBCWEC-UHFFFAOYSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones","This compound belongs to the class of organic compounds known as prenylquinones. These are quinones with a structure characterized by the quinone ring substituted by an prenyl side-chain."
"C838",332.622,"fructoselysine_3","2",944.540179438526,306.1462,"C12H22N2O7","ZRMPOBPOYIGDMF-UHFFFAOYNA-N",NA,NA,"NA","ZRMPOBPOYIGDMF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C839",329.7925,"(1R,2S,5R)-2-Isopropyl-5-methylcyclohexyl (2R,5R)-5-hydroxy-1,3-oxathiolane-2-carboxylate_2","2",711.247580800896,288.1346,"C14H24O4S","KXKDZLRTIFHOHW-UHFFFAOYNA-N",NA,NA,"NA","KXKDZLRTIFHOHW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C840",332.972,"LSM-15100_2","2",1427.11693902262,368.183,"C18H28N2O4S","NUVSEORICCJOQH-SRNUBVIENA-N",NA,NA,"NA","NUVSEORICCJOQH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C841",331.953,"5,6-dimethyl-N-[2-methyl-2-(4-morpholinyl)propyl]-4-thieno[2,3-d]pyrimidinamine","2",1237.08714972925,320.1608,"C16H24N4OS","KQXYFFACRYKBSU-UHFFFAOYSA-N","InChI=1S/C16H24N4OS/c1-11-12(2)22-15-13(11)14(18-10-19-15)17-9-16(3,4)20-5-7-21-8-6-20/h10H,5-9H2,1-4H3,(H,17,18,19)","https://pubchem.ncbi.nlm.nih.gov/compound/2571309","NA","KQXYFFACRYKBSU-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Thienopyrimidines",NA,"Thienopyrimidines","This compound belongs to the class of organic compounds known as thienopyrimidines. These are heterocyclic compounds containing a thiophene ring fused to a pyrimidine ring. Thiophene is 5-membered ring consisting of four carbon atoms and one sulfur atom. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions."
"C842",336.952,"Dihydroactinospectacin; Dihydrospectinomycin_2","2",859.85646852762,334.1784,"C14H26N2O7","GKPRKJXOTBXASY-ATHBZBJANA-N",NA,NA,"NA","GKPRKJXOTBXASY-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C843",337.8675,"alpha-D-Rhap2,3-Me24NFo-(1->3)-alpha-D-Rhap4NFo","2",1589.41896997068,392.1827,"C16H28N2O9","PWNQMLFIYSGEBV-OUMPKBILSA-N","InChI=1S/C16H28N2O9/c1-7-9(17-5-19)12(11(21)15(22)25-7)27-16-14(24-4)13(23-3)10(18-6-20)8(2)26-16/h5-16,21-22H,1-4H3,(H,17,19)(H,18,20)/t7-,8-,9-,10-,11+,12+,13+,14+,15+,16-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/129626691","NA","PWNQMLFIYSGEBV-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C844",336.196,"beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine_4","2",1970.39371716075,382.163,"C14H26N2O10","TVLSMEPJGATPGK-CGKOVJDHSA-N","InChI=1S/C14H26N2O10/c1-4(19)16-8-11(22)12(6(3-18)24-13(8)23)26-14-7(15)10(21)9(20)5(2-17)25-14/h5-14,17-18,20-23H,2-3,15H2,1H3,(H,16,19)/t5-,6-,7-,8-,9-,10-,11-,12-,13-,14+/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/10156719","NA","TVLSMEPJGATPGK-CGKOVJDHSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars","This compound belongs to the class of organic compounds known as acylaminosugars. These are organic compounds containing a sugar linked to a chain through N-acyl group."
"C845",340.4395,"Methionyl-Histidine_3","2",1616.43014503927,286.1112,"C11H18N4O3S","MWAYJIAKVUBKKP-UHFFFAOYNA-N",NA,NA,"NA","MWAYJIAKVUBKKP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C846",341.376,"(S)-Pterosin P_2","2",181.630711395544,234.1243,"C14H18O3","QDZJDGJEGHSXFF-UHFFFAOYNA-N",NA,NA,"NA","QDZJDGJEGHSXFF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C847",337.87,"N-Acetylmuramoyl-Ala_6","2",2337.3379107492,364.1518,"C14H24N2O9","ICMUIFDBEVJCQA-DBRPSDITNA-N",NA,NA,"NA","ICMUIFDBEVJCQA-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C848",322.705,"N-acetyl-beta-D-glucosaminyl-(1->4)-D-glucosaminium(1+)_3","2",3248.63933314783,382.1615,"C14H26N2O10","BXVPZDGOKHWNAM-QLPMJNDRNA-O",NA,NA,"NA","BXVPZDGOKHWNAM-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C849",321.833,"imidurea_1","2",1743.03248173645,388.1121,"C11H16N8O8","ZCTXEAQXZGPWFG-UHFFFAOYNA-N",NA,NA,"NA","ZCTXEAQXZGPWFG-UHFFFAOYNA-N",NA,NA,NA,NA,NA,NA
"C850",321.325,"2-acetamido-2-deoxy-alpha-L-galactopyranuronosyl-(1->3)-N-acetyl-D-quinovosamine_4","2",2763.71418837537,422.1552,"C16H26N2O11","XYZHKJQHXUZGSK-PTCRCJAKSA-N","InChI=1S/C16H26N2O11/c1-4-9(21)12(8(15(26)27-4)18-6(3)20)28-16-7(17-5(2)19)10(22)11(23)13(29-16)14(24)25/h4,7-13,15-16,21-23,26H,1-3H3,(H,17,19)(H,18,20)(H,24,25)/t4-,7+,8-,9-,10+,11+,12-,13-,15?,16-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/45266786","NA","XYZHKJQHXUZGSK-PTCRCJAKSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acyl-alpha-hexosamines","This compound belongs to the class of organic compounds known as n-acyl-alpha-hexosamines. These are carbohydrate derivatives containing a hexose moiety in which the oxygen atom is replaced by an n-acyl group."
"C851",323.465,"Hexyl 3-mercaptobutanoate_3","2",131.102423563686,204.1142,"C10H20O2S","HDYQKQAKXIPCAP-UHFFFAOYNA-N",NA,NA,"NA","HDYQKQAKXIPCAP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C852",321.271,"2-[[4-amino-5-(4-tert-butylphenyl)-1,2,4-triazol-3-yl]thio]acetic acid propan-2-yl ester_2","2",1705.17059823066,348.1554,"C17H24N4O2S","NERMGOLFRVSVAQ-UHFFFAOYSA-N","InChI=1S/C17H24N4O2S/c1-11(2)23-14(22)10-24-16-20-19-15(21(16)18)12-6-8-13(9-7-12)17(3,4)5/h6-9,11H,10,18H2,1-5H3","https://pubchem.ncbi.nlm.nih.gov/compound/662232","NA","NERMGOLFRVSVAQ-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Azoles","Triazoles","Phenyl-1,2,4-triazoles","This compound belongs to the class of organic compounds known as phenyl-1,2,4-triazoles. These are organic compounds containing a 1,2,4-triazole substituted by a phenyl group."
"C853",322.1195,"Saccharopine_3","2",577.786515942395,276.1357,"C11H20N2O6","ZDGJAHTZVHVLOT-YUMQZZPRSA-N","InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/160556","NA","ZDGJAHTZVHVLOT-YUMQZZPRSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives","This compound belongs to the class of organic compounds known as glutamic acid and derivatives. These are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom."
"C854",322.0185,"C00050763","2",860.428874477727,278.1508,"C16H22O4","DLYGIKVZDGBGDN-SDQBBNPINA-N",NA,NA,"NA","DLYGIKVZDGBGDN-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C855",324.5655,"Abscisic acid aldehyde_4","2",333.512580676798,248.1407,"C15H20O3","RIKWDZWVHUIUAM-LWSWVGHMNA-N",NA,NA,"NA","RIKWDZWVHUIUAM-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C856",323.463,"Ala-Leu-Asp-Gly_2","2",762.040766814238,374.1713,"C15H26N4O7","DCUCOIYYUBILPS-GUBZILKMSA-N","InChI=1S/C15H26N4O7/c1-7(2)4-9(18-13(24)8(3)16)15(26)19-10(5-11(20)21)14(25)17-6-12(22)23/h7-10H,4-6,16H2,1-3H3,(H,17,25)(H,18,24)(H,19,26)(H,20,21)(H,22,23)/t8-,9-,10-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/71464516","NA","DCUCOIYYUBILPS-GUBZILKMSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides","This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds."
